Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinSocket_1x11_P2.00mm_Vertical,2,Conn_01x11,
J3,PinSocket_1x07_P2.00mm_Vertical,1,Conn_01x07,
"J4, J5",PinHeader_1x15_P2.54mm_Vertical,2,Conn_01x15,
